HouseNumber,Street,StreetSuffix,City,State,Zip,StreetName,Address,StateName,Zip4,AddressType,RBDI,Active,Fips,County,ResultCode,MAK
100,Firefly,,Irvine,CA,92618,,100 Firefly,California,8886.0,Street,Residential,Yes,6059,orange                   ,AS01,2524912337
100,Fixie,,Irvine,CA,92618,,100 Fixie,California,1033.0,Street,Residential,Yes,6059,orange                   ,AS01,2850972571
100,Follyhatch,,Irvine,CA,92618,,100 Follyhatch,California,1050.0,Street,Residential,Yes,6059,orange                   ,AS01,6181748304
100,Fountainhead,,Irvine,CA,92618,,100 Fountainhead,California,802.0,Street,Residential,Yes,6059,orange                   ,AS01,5978814670
100,Gemini,,Irvine,CA,92618,,100 Gemini,California,1337.0,Street,Residential,Yes,6059,orange                   ,AS01,1372735562
100,Glance,,Irvine,CA,92618,,100 Glance,California,1426.0,Street,Residential,Yes,6059,orange                   ,AS01,4176945113
100,Globe,,Irvine,CA,92618,,100 Globe,California,888.0,Street,Residential,Yes,6059,orange                   ,AS01,9165381764
100,Glydon,,Irvine,CA,92618,,100 Glydon,California,3562.0,Street,Residential,Yes,6059,orange                   ,AS01,1008744379
100,Grassblade,,Irvine,CA,92618,,100 Grassblade,California,1042.0,Street,Residential,Yes,6059,orange                   ,AS01,1673710220
100,Greenfield,,Irvine,CA,92614,,100 Greenfield,California,5465.0,Street,Residential,Yes,6059,orange                   ,AS01,6268568615
100,Greenmoor,,Irvine,CA,92614,,100 Greenmoor,California,7477.0,Street,Residential,Yes,6059,orange                   ,AS01,7701080070
100,Halo,,Irvine,CA,92618,,100 Halo,California,1336.0,Street,Residential,Yes,6059,orange                   ,AS01,7447142054
100,Halworth,,Irvine,CA,92618,,100 Halworth,California,3523.0,Street,Residential,Yes,6059,orange                   ,AS01,4793218019
100,Havenwood,,Irvine,CA,92614,,100 Havenwood,California,5435.0,Street,Residential,Yes,6059,orange                   ,AS01,6763773513
100,Hedge Bloom,,Irvine,CA,92618,,100 Hedge Bloom,California,1517.0,Street,Residential,Yes,6059,orange                   ,AS01,5186723381
100,Holly,Spgs,Irvine,CA,92618,,100 Holly Spgs,California,873.0,Street,Residential,Yes,6059,orange                   ,AS01,4134820556
100,Hyperion,,Irvine,CA,92618,,100 Hyperion,California,3556.0,Street,Residential,Yes,6059,orange                   ,AS01,1770271809
100,Interstellar,,Irvine,CA,92618,,100 Interstellar,California,1321.0,Street,Residential,Yes,6059,orange                   ,AS01,7564658329
100,Jade Vine,,Irvine,CA,92618,,100 Jade Vine,California,4803.0,Street,Residential,Yes,6059,orange                   ,AS01,8638505331
100,Jadestone,,Irvine,CA,92603,,100 Jadestone,California,1018.0,Street,Residential,Yes,6059,orange                   ,AS01,8076282517
100,Jaybird,,Irvine,CA,92618,,100 Jaybird,California,3518.0,Street,Residential,Yes,6059,orange                   ,AS01,3935328311
100,Kazan,St,Irvine,CA,92604,,100 Kazan St,California,2457.0,Street,Residential,Yes,6059,orange                   ,AS01,6084849127
100,Keeper,,Irvine,CA,92618,,100 Keeper,California,1419.0,Street,Residential,Yes,6059,orange                   ,AS01,3669816617
100,Keepsake,,Irvine,CA,92618,,100 Keepsake,California,8845.0,Street,Residential,Yes,6059,orange                   ,AS01,9227236360
100,Kestrel,,Irvine,CA,92618,,100 Kestrel,California,1061.0,Street,Residential,Yes,6059,orange                   ,AS01,8766449716
100,Knollglen,,Irvine,CA,92614,,100 Knollglen,California,7486.0,Street,Residential,Yes,6059,orange                   ,AS01,4135046703
100,Knotweed,,Irvine,CA,92618,,100 Knotweed,California,3513.0,Street,Residential,Yes,6059,orange                   ,AS01,8416157063
100,Lattice,,Irvine,CA,92603,,100 Lattice,California,4261.0,Street,Residential,Yes,6059,orange                   ,AS01,4493018684
100,Lemon,Grv,Irvine,CA,92618,,100 Lemon Grv,California,4512.0,Street,Residential,Yes,6059,orange                   ,AS01,4395786675
100,Linda,Vis,Irvine,CA,92618,,100 Linda Vis,California,1358.0,Street,Residential,Yes,6059,orange                   ,AS01,7319091883
100,Lomita,,Irvine,CA,92618,,100 Lomita,California,1360.0,Street,Residential,Yes,6059,orange                   ,AS01,5599464160
100,Luminous,,Irvine,CA,92603,,100 Luminous,California,4259.0,Street,Residential,Yes,6059,orange                   ,AS01,8828024494
100,Lupari,,Irvine,CA,92618,,100 Lupari,California,1111.0,Street,Residential,Yes,6059,orange                   ,AS01,4766066753
100,Masterpiece,,Irvine,CA,92618,,100 Masterpiece,California,1378.0,Street,Residential,Yes,6059,orange                   ,AS01,1169052055
100,Messenger,,Irvine,CA,92618,,100 Messenger,California,1335.0,Street,Residential,Yes,6059,orange                   ,AS01,3007456264
100,Milky,Way,Irvine,CA,92618,,100 Milky Way,California,8889.0,Street,Residential,Yes,6059,orange                   ,AS01,3221521964
100,Millbrook,,Irvine,CA,92618,,100 Millbrook,California,3996.0,Street,Residential,Yes,6059,orange                   ,AS01,5279758901
100,Mongoose,,Irvine,CA,92618,,100 Mongoose,California,1055.0,Street,Residential,Yes,6059,orange                   ,AS01,2980839192
100,Montero,,Irvine,CA,92618,,100 Montero,California,1359.0,Street,Residential,Yes,6059,orange                   ,AS01,2109635707
100,Mosaic,,Irvine,CA,92603,,100 Mosaic,California,4217.0,Street,Residential,Yes,6059,orange                   ,AS01,1268665924
100,Mossvine,,Irvine,CA,92618,,100 Mossvine,California,3551.0,Street,Residential,Yes,6059,orange                   ,AS01,6584348416
100,Murica Aisle,,Irvine,CA,92614,,100 Murica Aisle,California,255.0,Street,Residential,Yes,6059,orange                   ,AS01,1124531325
100,Mustard,,Irvine,CA,92618,,100 Mustard,California,1044.0,Street,Residential,Yes,6059,orange                   ,AS01,4886039947
100,Nature,Walk,Irvine,CA,92618,,100 Nature Walk,California,850.0,Street,Residential,Yes,6059,orange                   ,AS01,6235649257
100,Navarre,,Irvine,CA,92612,,100 Navarre,California,7701.0,Street,Residential,Yes,6059,orange                   ,AS01,7109122231
100,Newall,,Irvine,CA,92618,,100 Newall,California,1031.0,Street,Residential,Yes,6059,orange                   ,AS01,9537295526
100,Newburry,,Irvine,CA,92618,,100 Newburry,California,3542.0,Street,Residential,Yes,6059,orange                   ,AS01,5157891604
100,Nickel,,Irvine,CA,92618,,100 Nickel,California,830.0,Street,Residential,Yes,6059,orange                   ,AS01,2314607061
100,Nighthawk,,Irvine,CA,92604,,100 Nighthawk,California,3682.0,Street,Residential,Yes,6059,orange                   ,AS01,5232616651
100,Novel,,Irvine,CA,92618,,100 Novel,California,1791.0,Street,Residential,Yes,6059,orange                   ,AS01,9693638376
100,Okra,,Irvine,CA,92618,,100 Okra,California,875.0,Street,Residential,Yes,6059,orange                   ,AS01,1843899286
100,Orange Blossom,,Irvine,CA,92618,,100 Orange Blossom,California,4425.0,Street,Residential,Yes,6059,orange                   ,AS01,5174935194
100,Orbit,,Irvine,CA,92618,,100 Orbit,California,3558.0,Street,Residential,Yes,6059,orange                   ,AS01,4531749622
100,Orchard,,Irvine,CA,92618,,100 Orchard,California,4555.0,Street,Residential,Yes,6059,orange                   ,AS01,7814223328
100,Orchid,Ter,Irvine,CA,92618,,100 Orchid Ter,California,4809.0,Street,Residential,Yes,6059,orange                   ,AS01,5219295787
